Date,n_pop,n_cc,n_sampled,n_symp
2020-07-16,864821.5215627619,42.0,238.0,3.0
2020-07-17,864821.5215627619,95.0,212.0,0.0
2020-07-18,864821.5215627619,73.0,243.0,1.0
2020-07-19,864821.5215627619,44.0,265.0,0.0
2020-07-20,864821.5215627619,37.0,231.0,0.0
2020-07-21,864821.5215627619,76.0,251.0,1.0
2020-07-22,864821.5215627619,58.0,239.0,0.9999999999999999
2020-07-23,864821.5215627619,66.0,207.0,1.0
2020-07-24,864821.5215627619,57.0,196.0,0.9999999999999999
2020-07-25,864821.5215627619,105.0,204.0,3.0
2020-07-26,864821.5215627619,90.0,213.0,1.0
2020-07-27,864821.5215627619,49.0,199.0,0.0
2020-07-28,864821.5215627619,48.0,216.0,0.0
2020-07-29,864821.5215627619,149.0,211.0,1.0
2020-07-30,864821.5215627619,44.0,205.0,3.0
2020-07-31,864821.5215627619,79.0,157.0,0.0
2020-08-01,864821.5215627619,103.0,214.0,0.9999999999999999
2020-08-02,864821.5215627619,88.0,223.0,3.0
2020-08-03,864821.5215627619,65.0,235.0,0.0
2020-08-04,864821.5215627619,59.0,221.0,0.0
2020-08-05,864821.5215627619,89.0,207.0,3.0
2020-08-06,864821.5215627619,105.0,195.0,0.0
2020-08-07,864821.5215627619,98.0,214.0,0.0
2020-08-08,864821.5215627619,106.0,202.0,0.0
2020-08-09,864821.5215627619,128.0,219.0,4.0
2020-08-10,864821.5215627619,58.0,209.0,0.0
2020-08-11,864821.5215627619,50.0,174.0,1.0
2020-08-12,864821.5215627619,102.0,194.0,2.0
2020-08-13,864821.5215627619,82.0,187.0,0.9999999999999999
2020-08-14,864821.5215627619,127.0,178.0,1.0
2020-08-15,864821.5215627619,94.0,139.0,0.0
2020-08-16,864821.5215627619,156.0,204.0,0.0
2020-08-17,864821.5215627619,86.0,166.0,1.0
2020-08-18,864821.5215627619,81.0,158.0,1.0
2020-08-19,864821.5215627619,125.0,186.0,3.0
2020-08-20,864821.5215627619,125.0,183.0,1.0
2020-08-21,864821.5215627619,193.0,154.0,2.0
2020-08-22,864821.5215627619,251.0,145.0,0.0
2020-08-23,864821.5215627619,141.0,169.0,0.0
2020-08-24,864821.5215627619,149.0,158.0,1.0
2020-08-25,864821.5215627619,134.0,163.0,2.0
